"Ticker","Name","Price","Dividend Yield","Market Cap ($M)","P/E Ratio","Payout Ratio","Beta"
"SHW","The Sherwin-Williams Co.","581.35","0.7","53,663","38.3","28.0","0.86"
"SIVB","SVB Financial Group","238.60","0.0","12,301","10.9","0.0","1.59"
"SJM","The J. M. Smucker Co.","106.27","3.2","12,119","22.6","72.8","0.24"
"SLB","Schlumberger NV","36.34","5.5","50,308","-5.1","-27.9","1.17"
"SLG","SL Green Realty Corp.","86.00","4.0","7,376","40.3","159.3","0.67"
"SNA","Snap-On, Inc.","166.94","2.3","9,155","13.2","30.2","1.03"
"SNPS","Synopsys, Inc.","136.21","0.0","20,470","32.4","0.0","1.31"
"SO","The Southern Co.","61.26","4.0","64,245","13.9","55.5","0.21"
"SPG","Simon Property Group, Inc.","154.49","5.3","102,221","22.2","118.0","0.54"
"SPGI","S&P Global, Inc.","255.30","0.9","62,395","30.1","26.0","1.00"
"SRE","Sempra Energy","142.12","2.7","40,063","15.8","42.3","0.34"
"STI","SunTrust Banks, Inc.","71.04","2.9","31,544","12.9","37.5","0.93"
"STT","State Street Corp.","73.10","2.6","26,580","14.3","37.7","1.03"
"STX","Seagate Technology Plc","58.79","4.3","15,444","9.2","39.6","1.34"
"STZ","Constellation Brands, Inc.","187.56","1.6","35,943","45.5","72.2","0.79"
"SWK","Stanley Black & Decker, Inc.","157.84","1.7","23,993","33.9","57.3","1.52"
"SWKS","Skyworks Solutions, Inc.","100.44","1.5","17,245","19.0","28.8","1.55"
"SYF","Synchrony Financial","36.94","2.3","23,870","6.7","15.4","0.98"
"SYK","Stryker Corp.","199.78","1.0","74,797","21.8","22.7","0.95"
"SYMC","Symantec Corp.","23.75","1.3","14,678","128.6","162.4","1.24"
"SYY","Sysco Corp.","80.40","1.9","41,073","24.3","47.2","0.49"
"T","AT&T, Inc.","39.38","5.2","287,592","17.6","91.0","0.60"
"TAP","Molson Coors Brewing Co.","53.79","3.3","11,635","75.5","252.8","0.61"
"TDG","TransDigm Group, Inc.","541.08","5.5","28,880","40.5","224.6","1.19"
"TEL","TE Connectivity Ltd.","93.90","1.9","31,544","16.4","31.5","1.09"
"TFX","Teleflex, Inc.","331.18","0.4","15,332","34.4","14.1","0.94"
"TGT","Target Corp.","110.15","2.3","56,278","18.1","42.3","0.96"
"TIF","Tiffany & Co.","125.67","1.8","15,180","27.2","48.3","1.19"
"TJX","The TJX Cos., Inc.","59.23","1.4","71,826","23.5","33.8","1.00"
"TMO","Thermo Fisher Scientific, Inc.","294.65","0.3","118,151","32.9","8.3","1.15"
"TMUS","T-Mobile US, Inc.","80.94","0.0","69,250","20.6","0.0","0.73"
"TPR","Tapestry, Inc.","27.23","5.0","7,837","14.6","72.2","1.39"
"TRIP","TripAdvisor, Inc.","31.96","0.0","4,452","38.0","0.0","1.41"
"TROW","T. Rowe Price Group, Inc.","119.58","2.5","27,943","15.0","37.3","1.23"
"TRV","The Travelers Cos., Inc.","133.29","2.4","34,403","14.9","35.5","0.70"
"TSCO","Tractor Supply Co.","94.82","1.4","11,308","20.6","28.7","1.02"
"TSN","Tyson Foods, Inc.","82.63","1.8","24,349","13.5","24.4","0.50"
"TSS","Total System Services, Inc.","133.27","0.4","23,587","38.9","15.2",""
"TTWO","Take-Two Interactive Software, Inc.","116.96","0.0","13,237","43.0","0.0","1.05"
"TWTR","Twitter, Inc.","29.21","0.0","22,677","14.0","0.0","1.66"
"TXN","Texas Instruments Incorporated","120.11","2.6","112,275","21.9","56.3","1.29"
"TXT","Textron, Inc.","46.61","0.2","10,639","12.7","2.2","1.25"
"UA","Under Armour, Inc.","15.88","0.0","7,165","64.1","0.0","1.28"
"UAA","Under Armour, Inc.","17.56","0.0","7,923","70.9","0.0","1.25"
"UAL","United Airlines Holdings, Inc.","93.44","0.0","23,644","8.6","0.0","1.01"
"UDR","UDR, Inc.","47.37","2.8","22,595","79.1","225.5","0.38"
"UHS","Universal Health Services, Inc.","141.13","0.4","12,488","17.5","6.2","0.73"
"ULTA","Ulta Beauty, Inc.","239.29","0.0","14,081","20.1","0.0","1.01"
"UNH","UnitedHealth Group, Inc.","256.97","1.5","243,525","18.4","28.3","0.80"
"UNM","Unum Group","30.00","3.6","6,188","6.1","21.5","1.26"
"UNP","Union Pacific Corp.","176.10","2.0","122,248","20.7","41.4","1.16"
"UPS","United Parcel Service, Inc.","124.30","3.0","106,618","21.5","65.6","1.10"
"URI","United Rentals, Inc.","155.32","0.0","11,673","10.6","0.0","1.91"
"USB","U.S. Bancorp","58.90","2.6","92,531","13.5","35.1","0.82"
"UTX","United Technologies Corp.","148.88","2.0","128,498","24.9","49.2","1.07"
"V","Visa, Inc.","178.97","0.6","311,044","33.3","18.6","1.16"
